user_id,domain,level,priority,is_on_time,free_time_rto,punct_score
396,10,0,3,1,0.747,1.0
9,2,1,3,0,0.0,0.22199999999999998
199,5,2,0,1,0.166,1.0
100,7,0,3,1,0.294,1.0
644,6,0,3,1,0.402,1.0
539,9,2,1,1,0.48,1.0
991,0,3,0,1,0.322,1.0
560,0,1,3,1,0.571,1.0
373,1,0,3,1,0.679,1.0
935,2,2,0,1,0.222,1.0
413,10,3,3,1,0.13,1.0
942,0,0,0,1,0.272,1.0
735,9,3,1,1,0.416,1.0
212,3,3,2,0,0.0,0.494
420,4,0,3,0,0.0,0.866
135,0,1,3,1,0.478,1.0
831,0,1,2,1,0.429,1.0
111,1,0,3,1,0.537,1.0
632,2,0,0,1,0.458,1.0
697,9,0,3,1,0.836,1.0
999,5,0,1,0,0.0,0.30000000000000004
727,5,3,1,1,0.547,1.0
158,7,3,2,1,0.574,1.0
997,1,2,3,1,0.362,1.0
145,3,3,0,1,0.367,1.0
751,9,2,2,1,0.512,1.0
504,7,0,1,1,0.067,1.0
756,5,1,2,1,0.113,1.0
73,6,0,3,1,0.461,1.0
312,6,1,0,1,0.605,1.0
547,4,1,3,1,0.411,1.0
631,8,3,3,1,0.299,1.0
249,3,0,0,1,0.289,1.0
759,3,3,3,1,0.348,1.0
312,5,1,0,1,0.24,1.0
856,4,3,3,1,0.184,1.0
326,2,2,0,1,0.236,1.0
597,10,0,1,1,0.715,1.0
111,1,1,1,1,0.295,1.0
935,2,3,2,1,0.772,1.0
531,2,2,3,1,0.443,1.0
603,2,2,0,1,0.346,1.0
96,0,3,2,1,0.304,1.0
306,9,3,3,1,0.524,1.0
566,10,2,2,0,0.0,0.46099999999999997
774,7,2,0,1,0.298,1.0
891,7,2,0,1,0.286,1.0
574,1,2,0,1,0.785,1.0
536,5,0,3,1,0.312,1.0
476,10,3,1,1,0.362,1.0
875,10,0,3,1,0.131,1.0
759,2,1,0,1,0.389,1.0
952,3,3,3,1,0.05,1.0
723,1,3,1,1,0.442,1.0
854,9,2,3,1,0.574,1.0
948,6,3,1,1,0.312,1.0
218,3,2,2,1,0.606,1.0
658,8,2,1,1,0.188,1.0
661,6,0,2,0,0.0,0.731
717,5,0,2,0,0.0,0.399
436,5,3,3,1,0.891,1.0
820,9,0,2,1,0.535,1.0
631,9,2,2,1,0.611,1.0
493,8,0,2,0,0.0,0.896
200,4,0,3,1,0.164,1.0
173,3,2,0,1,0.258,1.0
822,3,3,3,1,0.364,1.0
583,4,1,1,1,0.088,1.0
466,0,1,0,1,0.379,1.0
851,10,0,0,1,0.753,1.0
944,0,1,1,1,0.355,1.0
855,4,2,2,1,0.357,1.0
557,4,0,3,1,0.556,1.0
239,1,0,1,0,0.0,0.723
686,8,1,1,1,0.344,1.0
935,7,0,0,1,0.699,1.0
201,6,2,2,1,0.179,1.0
770,8,2,0,1,0.517,1.0
267,9,2,0,1,0.553,1.0
920,3,3,0,1,0.613,1.0
72,1,1,1,1,0.502,1.0
40,4,2,3,1,0.423,1.0
667,4,2,3,1,0.802,1.0
478,9,1,2,1,0.341,1.0
203,8,0,2,1,0.573,1.0
74,10,3,1,1,0.425,1.0
826,10,2,0,1,0.336,1.0
200,4,0,0,1,0.328,1.0
820,9,2,2,1,0.365,1.0
382,10,3,2,1,0.831,1.0
110,8,2,3,1,0.326,1.0
852,7,3,0,1,0.39,1.0
660,0,2,2,1,0.575,1.0
528,5,2,1,0,0.0,0.716
101,9,0,1,1,0.877,1.0
690,1,1,2,1,0.276,1.0
328,10,0,0,0,0.0,0.757
286,3,3,1,1,0.441,1.0
125,10,3,3,1,0.309,1.0
18,2,3,1,1,0.436,1.0
743,10,3,3,1,0.355,1.0
801,2,1,3,1,0.596,1.0
44,4,2,2,1,0.217,1.0
357,0,1,1,1,0.137,1.0
214,8,3,1,1,0.448,1.0
669,5,0,0,1,0.692,1.0
543,2,1,1,1,0.585,1.0
877,7,0,3,1,0.186,1.0
11,9,2,1,0,0.0,0.629
440,3,0,1,1,0.305,1.0
775,1,1,0,1,0.333,1.0
451,7,1,2,1,0.12,1.0
950,8,2,2,1,0.498,1.0
451,3,0,1,1,0.233,1.0
552,4,2,3,1,0.268,1.0
209,4,0,3,1,0.413,1.0
992,0,0,2,1,0.648,1.0
27,2,3,3,1,0.201,1.0
226,5,0,0,1,0.267,1.0
676,0,3,1,1,0.319,1.0
16,0,1,3,1,0.02,1.0
851,9,3,3,1,0.519,1.0
991,0,0,0,1,0.634,1.0
554,1,3,0,0,0.0,0.908
213,9,3,3,1,0.519,1.0
470,8,3,1,0,0.0,0.961
799,8,0,0,1,0.413,1.0
300,3,2,0,1,0.1,1.0
48,3,3,1,1,0.171,1.0
752,6,0,3,1,0.763,1.0
276,6,0,1,1,0.192,1.0
733,3,1,1,1,0.099,1.0
271,9,3,3,1,0.743,1.0
273,3,2,2,1,0.543,1.0
810,10,3,1,0,0.0,0.45799999999999996
605,10,2,2,1,0.398,1.0
420,0,3,0,1,0.538,1.0
943,3,1,0,1,0.149,1.0
834,6,3,0,1,0.352,1.0
684,0,0,3,1,0.431,1.0
277,0,3,0,1,0.443,1.0
587,2,2,2,1,0.465,1.0
83,9,1,3,1,0.207,1.0
493,10,2,3,1,0.184,1.0
958,10,3,1,1,0.359,1.0
180,7,3,2,0,0.0,0.617
699,2,1,0,1,0.608,1.0
963,8,2,2,1,0.281,1.0
868,4,3,2,1,0.809,1.0
309,5,3,0,1,0.282,1.0
479,2,1,0,1,0.185,1.0
190,5,2,3,0,0.0,0.8140000000000001
197,5,2,2,1,0.207,1.0
72,1,1,1,1,0.36,1.0
848,4,1,2,1,0.557,1.0
418,8,1,0,0,0.0,0.85
888,10,0,3,1,0.659,1.0
831,0,2,2,1,0.429,1.0
882,10,0,3,1,0.329,1.0
209,0,3,3,1,0.072,1.0
400,6,0,0,1,0.277,1.0
879,10,2,1,1,0.441,1.0
693,4,2,2,1,0.699,1.0
337,9,1,0,0,0.0,0.485
324,8,0,0,1,0.122,1.0
386,2,1,0,1,0.273,1.0
438,5,2,0,1,0.479,1.0
482,3,1,1,1,0.114,1.0
351,0,1,0,1,0.821,1.0
916,5,3,1,1,0.31,1.0
6,1,0,3,1,0.657,1.0
261,6,1,0,1,0.137,1.0
408,7,2,2,1,0.257,1.0
492,0,2,0,1,0.642,1.0
160,3,3,1,1,0.092,1.0
318,10,3,1,1,0.403,1.0
508,0,2,0,1,0.158,1.0
741,8,3,3,1,0.4,1.0
511,5,1,0,1,0.729,1.0
987,9,0,2,1,0.021,1.0
924,10,0,1,1,0.258,1.0
963,10,0,3,1,0.756,1.0
889,6,3,0,1,0.37,1.0
176,2,1,2,1,0.568,1.0
260,0,2,0,1,0.592,1.0
238,1,2,0,1,0.442,1.0
484,0,3,1,1,0.044,1.0
498,8,1,1,1,0.188,1.0
678,4,2,1,1,0.704,1.0
136,9,0,1,1,0.108,1.0
353,9,0,1,0,0.0,0.8180000000000001
855,0,0,2,1,0.365,1.0
192,10,1,0,1,0.103,1.0
793,6,3,0,1,0.447,1.0
424,4,3,2,1,0.226,1.0
782,4,2,0,1,0.306,1.0
750,10,3,3,1,0.444,1.0
334,10,2,1,1,0.457,1.0
573,9,3,3,1,0.519,1.0
255,1,0,3,1,0.497,1.0
367,5,1,2,1,0.653,1.0
894,8,0,1,1,0.299,1.0
484,4,1,1,1,0.694,1.0
58,10,3,0,1,0.556,1.0
592,2,1,1,1,0.338,1.0
805,10,2,2,0,0.0,0.921
377,2,0,2,1,0.73,1.0
790,9,1,3,1,0.111,1.0
574,2,1,0,1,0.72,1.0
901,1,3,1,1,0.548,1.0
257,7,2,0,1,0.429,1.0
674,5,2,3,1,0.677,1.0
303,1,2,1,1,0.322,1.0
206,9,1,2,1,0.24,1.0
540,9,2,2,1,0.61,1.0
650,0,1,2,1,0.117,1.0
757,1,1,3,0,0.0,0.501
693,0,3,2,1,0.27,1.0
181,8,1,2,1,0.189,1.0
753,4,0,0,1,0.479,1.0
206,8,3,1,1,0.443,1.0
944,0,1,3,1,0.276,1.0
28,8,1,0,1,0.134,1.0
943,3,0,2,1,0.426,1.0
733,2,3,3,1,0.466,1.0
801,3,3,1,1,0.129,1.0
903,10,1,3,1,0.447,1.0
100,2,1,3,1,0.596,1.0
641,5,2,2,1,0.281,1.0
237,9,3,3,1,0.236,1.0
438,6,0,3,1,0.459,1.0
912,5,1,2,1,0.593,1.0
217,5,0,1,1,0.279,1.0
760,9,3,1,1,0.122,1.0
876,4,0,0,1,0.213,1.0
550,0,0,0,1,0.612,1.0
411,3,0,1,1,0.483,1.0
184,2,1,3,1,0.281,1.0
254,1,1,3,1,0.353,1.0
405,6,0,0,1,0.32,1.0
480,10,2,0,1,0.532,1.0
775,3,1,2,1,0.205,1.0
1,8,1,2,1,0.635,1.0
660,0,2,0,1,0.486,1.0
470,8,0,0,1,0.295,1.0
264,7,2,3,1,0.58,1.0
320,5,3,1,1,0.245,1.0
732,5,0,3,1,0.287,1.0
821,0,0,0,1,0.358,1.0
850,5,3,2,1,0.101,1.0
370,8,1,0,1,0.41,1.0
185,7,2,1,1,0.133,1.0
446,7,3,3,1,0.162,1.0
801,3,1,3,1,0.475,1.0
834,6,0,2,1,0.682,1.0
350,0,3,3,1,0.744,1.0
669,5,1,0,1,0.232,1.0
249,2,3,2,1,0.525,1.0
963,9,1,0,1,0.568,1.0
344,7,0,3,1,0.349,1.0
55,9,0,1,1,0.523,1.0
29,5,3,3,1,0.646,1.0
437,7,1,1,1,0.313,1.0
563,5,3,0,1,0.708,1.0
693,0,0,2,0,0.0,0.938
528,6,1,0,1,0.651,1.0
238,7,0,2,1,0.205,1.0
4,6,3,1,1,0.673,1.0
12,5,3,3,1,0.438,1.0
914,6,3,2,1,0.41,1.0
362,2,0,2,1,0.426,1.0
750,8,3,3,1,0.61,1.0
236,8,2,2,1,0.246,1.0
370,9,1,0,1,0.311,1.0
732,5,3,1,1,0.621,1.0
493,10,2,1,1,0.309,1.0
211,0,3,3,1,0.02,1.0
900,6,1,3,1,0.291,1.0
762,2,2,0,1,0.407,1.0
790,8,2,0,1,0.838,1.0
236,9,0,1,1,0.719,1.0
333,4,3,3,1,0.282,1.0
809,0,1,2,1,0.37,1.0
261,5,3,2,1,0.209,1.0
826,9,2,2,1,0.248,1.0
11,10,1,2,0,0.0,0.647
719,8,0,2,0,0.0,0.988
941,9,0,1,1,0.519,1.0
830,7,1,1,1,0.516,1.0
33,10,2,1,0,0.0,0.694
914,6,1,3,1,0.346,1.0
915,5,1,2,1,0.111,1.0
617,4,2,3,0,0.0,0.657
338,4,0,3,1,0.37,1.0
143,0,1,2,1,0.465,1.0
409,5,1,3,1,0.295,1.0
791,9,1,2,0,0.0,0.527
880,6,1,0,1,0.04,1.0
380,0,3,1,1,0.51,1.0
719,10,1,0,1,0.73,1.0
587,2,0,1,1,0.081,1.0
922,2,2,0,0,0.0,0.605
845,5,1,3,1,0.26,1.0
419,8,1,2,1,0.383,1.0
529,2,2,2,1,0.316,1.0
461,5,2,1,1,0.768,1.0
799,9,3,0,1,0.339,1.0
615,0,2,1,1,0.233,1.0
935,1,2,3,1,0.224,1.0
940,5,3,2,1,0.427,1.0
565,6,2,0,1,0.088,1.0
705,4,3,1,1,0.108,1.0
363,7,3,0,1,0.19,1.0
170,10,0,3,1,0.729,1.0
967,0,3,1,1,0.351,1.0
439,3,3,2,0,0.0,0.748
522,8,1,2,1,0.852,1.0
866,7,3,2,1,0.45,1.0
420,0,0,3,0,0.0,0.5329999999999999
347,8,0,2,1,0.804,1.0
540,9,0,3,1,0.502,1.0
499,10,0,2,1,0.432,1.0
319,5,0,1,1,0.382,1.0
495,4,1,1,1,0.294,1.0
643,4,1,1,1,0.424,1.0
919,3,3,1,1,0.322,1.0
412,6,2,2,1,0.829,1.0
943,3,0,3,1,0.66,1.0
89,1,2,2,1,0.464,1.0
18,1,1,2,0,0.0,0.46499999999999997
245,5,3,2,1,0.046,1.0
171,6,1,2,1,0.677,1.0
606,6,2,3,1,0.703,1.0
382,8,1,0,1,0.347,1.0
432,5,1,0,1,0.393,1.0
250,3,1,2,1,0.157,1.0
293,4,0,2,1,0.313,1.0
450,1,3,2,1,0.333,1.0
225,1,1,3,1,0.098,1.0
368,4,1,3,0,0.0,0.606
790,9,1,2,1,0.412,1.0
91,5,3,2,1,0.795,1.0
248,8,3,2,0,0.0,0.53
708,5,3,1,1,0.688,1.0
587,3,0,1,1,0.491,1.0
13,6,0,3,1,0.503,1.0
274,6,3,2,1,0.131,1.0
125,10,0,1,1,0.12,1.0
309,6,3,3,1,0.234,1.0
84,6,3,0,0,0.0,0.534
918,8,0,2,1,0.714,1.0
939,6,3,2,1,0.654,1.0
346,4,0,0,1,0.644,1.0
659,5,1,0,1,0.165,1.0
330,1,0,1,1,0.299,1.0
224,6,2,1,1,0.26,1.0
152,5,0,3,1,0.064,1.0
24,6,1,2,1,0.27,1.0
401,8,0,0,1,0.242,1.0
286,2,1,1,1,0.332,1.0
515,3,3,0,1,0.314,1.0
68,3,0,3,1,0.385,1.0
188,9,0,3,1,0.334,1.0
484,4,1,0,1,0.079,1.0
614,7,3,2,1,0.298,1.0
798,2,3,3,1,0.343,1.0
374,6,2,1,1,0.334,1.0
955,5,1,2,1,0.107,1.0
546,9,1,0,1,0.521,1.0
721,9,1,0,1,0.408,1.0
919,2,2,1,1,0.233,1.0
114,0,1,3,1,0.247,1.0
327,3,3,3,1,0.132,1.0
311,2,3,2,1,0.244,1.0
229,4,3,2,1,0.592,1.0
698,5,0,2,1,0.55,1.0
316,5,2,0,1,0.098,1.0
78,2,2,2,1,0.405,1.0
865,6,3,3,1,0.35,1.0
333,4,0,1,1,0.295,1.0
13,6,2,1,1,0.588,1.0
444,4,1,2,1,0.343,1.0
502,0,3,0,1,0.141,1.0
447,9,0,0,1,0.173,1.0
831,0,1,1,1,0.418,1.0
259,4,1,2,1,0.507,1.0
581,8,3,1,1,0.659,1.0
294,5,1,0,1,0.191,1.0
617,4,3,1,1,0.423,1.0
916,6,1,0,1,0.181,1.0
983,3,1,3,1,0.345,1.0
830,1,2,3,1,0.589,1.0
424,0,1,0,0,0.0,0.594
984,5,1,3,1,0.191,1.0
892,4,3,0,1,0.554,1.0
679,2,3,3,1,0.399,1.0
451,2,1,3,1,0.174,1.0
837,2,3,0,1,0.621,1.0
44,4,2,2,1,0.331,1.0
184,1,0,1,1,0.685,1.0
854,10,1,0,1,0.512,1.0
269,7,3,1,1,0.623,1.0
208,5,1,2,1,0.767,1.0
526,8,2,3,1,0.635,1.0
198,5,2,0,1,0.338,1.0
165,5,0,3,1,0.321,1.0
888,8,3,0,1,0.578,1.0
340,1,1,2,1,0.132,1.0
13,5,0,2,1,0.744,1.0
204,9,2,2,1,0.697,1.0
479,1,2,1,1,0.066,1.0
642,3,0,2,0,0.0,0.9390000000000001
